key,fare_amount,passenger_count,pickup_datetime,pickup_latitude,dropoff_latitude,pickup_longitude,dropoff_longitude
2009-06-15 17:26:21.0000001,4.5,1.0,2009-06-15 17:26:21 UTC,40.721319,40.712278000000005,-73.844311,-73.84161
2010-01-05 16:52:16.0000002,16.9,1.0,2010-01-05 16:52:16 UTC,40.711303,40.782004,-74.016048,-73.979268
2011-08-18 00:35:00.00000049,5.7,2.0,2011-08-18 00:35:00 UTC,40.76127,40.750562,-73.982738,-73.991242
2012-04-21 04:30:42.0000001,7.7,1.0,2012-04-21 04:30:42 UTC,40.733143,40.758092,-73.98713000000001,-73.991567
2010-03-09 07:51:00.000000135,5.3,1.0,2010-03-09 07:51:00 UTC,40.768008,40.783762,-73.96809499999999,-73.956655
2011-01-06 09:50:45.0000002,12.1,1.0,2011-01-06 09:50:45 UTC,40.73163,40.758233,-74.000964,-73.972892
2012-01-04 17:22:00.00000081,16.5,100.0,2012-01-04 17:22:00 UTC,40.774138,40.751048,-73.9513,-73.990095
2012-12-03 13:10:00.000000125,9.0,1.0,2012-12-03 13:10:00 UTC,40.726713,40.731628,-74.006462,-73.993078
2009-09-02 01:11:00.00000083,8.9,100.0,2009-09-02 01:11:00 UTC,40.733873,40.758138,-73.98065799999999,-73.99154
2012-04-08 07:30:50.0000002,5.3,1.0,2012-04-08 07:30:50 UTC,40.737142,40.733559,-73.996335,-73.980721
2009-11-06 01:04:03.0000002,4.1,2.0,2009-11-06 01:04:03 UTC,40.744712,40.744682,-73.991601,-73.983081
2013-07-02 19:54:00.000000232,7.0,1.0,2013-07-02 19:54:00 UTC,40.728867,40.710907,-74.00536,-74.008913
2011-04-05 17:11:05.0000001,7.7,100.0,2011-04-05 17:11:05 UTC,40.737547,40.722788,-74.00182099999999,-73.99806
2013-11-23 12:57:00.000000190,5.0,1.0,2013-11-23 12:57:00 UTC,0.0,0.0,0.0,0.0
2014-02-19 07:22:00.00000074,12.5,1.0,2014-02-19 07:22:00 UTC,40.760465,40.737075,-73.98643,-73.98899
2010-07-07 14:52:00.00000044,5.3,1.0,2010-07-07 14:52:00 UTC,40.784843,40.783357,-73.969505,-73.958732
2010-09-07 13:18:00.000000175,10.5,1.0,2010-09-07 13:18:00 UTC,40.747858,40.76207,-73.985382,-73.97837700000001
2009-08-06 18:17:23.0000001,4.5,1.0,2099-01-01 00:00:00 UTC,40.770505,40.763671,-73.99170699999999,-73.98545899999999
2009-12-10 15:37:00.00000020,6.1,1.0,2009-12-10 15:37:00 UTC,40.756973,40.759712,-73.969622,-73.98115200000001
2011-06-21 16:15:00.00000073,7.3,3.0,2011-06-21 16:15:00 UTC,40.754437,40.774323,-73.991875,-73.97723
2011-02-07 20:01:00.000000114,6.5,1.0,2011-02-07 20:01:00 UTC,0.0,0.0,0.0,0.0
2011-06-28 19:47:00.000000168,4.5,3.0,2011-06-28 19:47:00 UTC,40.76016,40.757857,-73.988893,-73.98644499999999
2012-05-04 06:11:20.0000002,9.3,1.0,2012-05-04 06:11:20 UTC,51.5,40.72569,-0.1,-74.004133
2013-08-11 00:52:00.00000026,4.5,2.0,2013-08-11 00:52:00 UTC,51.5,40.730497,-0.1,-73.98066800000001
2014-02-19 16:03:00.000000160,5.5,1.0,2014-02-19 16:03:00 UTC,40.752422,40.759285,-73.976075,-73.981082
2015-06-21 21:46:34.0000001,22.54,1.0,2015-06-21 21:46:34 UTC,51.5,40.66036605834961,-0.1,-73.98577117919923
2009-01-09 16:10:00.000000170,31.9,3.0,2009-01-09 16:10:00 UTC,40.773883000000005,0.0,-73.87302700000001,0.0
2011-09-07 14:05:00.000000194,5.7,2.0,2011-09-07 14:05:00 UTC,51.5,40.738323,-0.1,-73.990002
2015-03-12 08:08:38.0000001,4.5,1.0,2015-03-12 08:08:38 UTC,40.756446838378906,40.7628288269043,-73.99017333984375,-73.9856185913086
2012-01-19 10:15:30.0000002,5.3,1.0,2012-01-19 10:15:30 UTC,40.754740000000005,40.751084000000006,-73.995199,-74.005416
2013-11-24 11:42:00.000000113,9.0,6.0,2013-11-24 11:42:00 UTC,51.5,40.758465,-0.1,-73.977087
2009-03-02 20:42:49.0000003,9.8,1.0,2009-03-02 20:42:49 UTC,40.759186,40.791367,-73.972673,-73.969897
2011-03-29 15:39:49.0000002,8.1,1.0,2011-03-29 15:39:49 UTC,40.744961,40.759608,-73.984267,-73.981646
2011-10-15 10:55:24.0000004,10.9,2.0,2011-10-15 10:55:24 UTC,40.725514,0.0,-74.003899,0.0
2013-11-22 08:38:09.0000003,17.5,100.0,2013-11-22 08:38:09 UTC,40.76292,0.0,-73.97845,0.0
2009-06-10 21:28:00.00000022,12.1,1.0,2009-06-10 21:28:00 UTC,40.7372,40.780748,-73.988558,-73.958688
2011-03-04 18:12:00.000000250,5.3,1.0,2011-03-04 18:12:00 UTC,40.737095,40.735043,-73.997037,-73.98612800000001
2011-08-31 21:14:15.0000003,6.9,1.0,2011-08-31 21:14:15 UTC,40.758944,40.736613,-73.971114,-73.97793
2011-06-01 20:30:00.000000119,4.5,1.0,2011-06-01 20:30:00 UTC,40.74442,40.748797,-73.980822,-73.991093
2011-12-14 07:53:00.00000028,3.3,1.0,2011-12-14 07:53:00 UTC,40.763577000000005,40.760262,-73.988877,-73.985573
2012-07-18 00:16:00.00000083,3.3,5.0,2012-07-18 00:16:00 UTC,40.756072,40.751702,-73.98666,-73.989727
2013-01-29 12:26:00.000000154,9.0,1.0,2013-01-29 12:26:00 UTC,40.742657,40.755947,-73.992253,-73.983597
2011-12-06 09:09:21.0000007,9.7,1.0,2011-12-06 09:09:21 UTC,40.739765000000006,40.760426,-73.985582,-73.973899
2012-10-06 20:31:36.0000003,5.5,3.0,2012-10-06 20:31:36 UTC,40.772048,0.0,-73.952825,0.0
2013-01-23 07:01:38.0000005,8.0,1.0,2013-01-23 07:01:38 UTC,40.783723,40.763179,-73.980298,-73.979628
2013-09-07 03:17:00.00000014,7.5,1.0,2013-09-07 03:17:00 UTC,40.746212,40.745055,-73.97770799999999,-73.975782
2013-11-10 01:12:19.0000002,25.5,4.0,2013-11-10 01:12:19 UTC,40.751603,40.851567,-73.974497,-73.934927
2010-05-31 18:06:00.00000097,34.67,100.0,2010-05-31 18:06:00 UTC,40.758853,40.774497,-73.985427,-73.872907
2011-03-19 21:55:00.00000090,9.7,4.0,2099-01-01 00:00:00 UTC,51.5,40.730088,-0.1,-73.999315
2012-07-19 23:53:14.0000002,13.7,2.0,2099-01-01 00:00:00 UTC,40.739582,40.791899,-74.002113,-73.971918
2009-03-23 12:13:29.0000002,6.5,,2009-03-23 12:13:29 UTC,40.736011,0.0,-73.98543000000001,0.0
2011-04-22 23:21:03.0000002,4.5,3.0,2011-04-22 23:21:03 UTC,40.713436,40.723428000000006,-74.009137,-74.00282299999999
2012-01-02 14:54:00.00000078,4.9,1.0,2012-01-02 14:54:00 UTC,40.731677000000005,40.723512,-74.003985,-73.999765
2014-05-01 09:12:00.000000198,7.0,6.0,2014-05-01 09:12:00 UTC,40.7675,40.77424,-73.96620300000001,-73.980915
2011-11-07 10:47:40.0000003,7.3,1.0,2011-11-07 10:47:40 UTC,40.753019,0.0,-74.003919,0.0
2012-10-07 17:59:08.0000003,7.5,1.0,2012-10-07 17:59:08 UTC,40.715882,40.705141,-74.004736,-74.017723
2014-01-17 09:03:00.000000187,8.5,4.0,2014-01-17 09:03:00 UTC,40.750575,40.741547,-73.991467,-73.98575
2014-04-29 18:28:00.0000005,16.5,6.0,2014-04-29 18:28:00 UTC,40.75084,0.0,-73.970323,0.0
2015-04-12 10:19:05.0000001,11.5,6.0,2015-04-12 10:19:05 UTC,40.72343826293945,40.7469482421875,-73.97927856445312,-74.00460815429686
2015-05-12 23:51:42.0000007,5.0,1.0,2015-05-12 23:51:42 UTC,40.779335021972656,40.780086517333984,-73.95479583740234,-73.94493103027344
2009-08-02 02:34:11.0000002,6.9,2.0,2009-08-02 02:34:11 UTC,40.723411,40.71895,-73.99578100000001,-74.005004
2010-01-31 10:53:00.00000010,3.7,1.0,2010-01-31 10:53:00 UTC,40.730767,40.737533,-74.00163,-73.997112
2010-05-14 08:09:00.000000210,6.9,2.0,2010-05-14 08:09:00 UTC,40.768942,40.761887,-73.955118,-73.963495
2012-05-21 15:20:00.00000017,10.1,2.0,2012-05-21 15:20:00 UTC,40.771838,40.778113,-73.977788,-73.9662
2014-12-08 16:00:01.0000001,16.5,1.0,2014-12-08 16:00:01 UTC,40.745287,40.702935,-73.9828,-74.01425
2010-08-16 01:33:00.00000034,15.07,100.0,2010-08-16 01:33:00 UTC,40.795585,40.764817,-73.961933,-73.962253
2010-12-04 14:26:13.0000003,7.7,1.0,2010-12-04 14:26:13 UTC,40.736569,40.744322,-73.996601,-73.982152
2013-02-06 22:16:00.00000028,7.0,2.0,2013-02-06 22:16:00 UTC,40.764342,40.745752,-73.988425,-74.001642
2014-06-11 22:24:21.0000001,8.5,1.0,2014-06-11 22:24:21 UTC,40.735087,0.0,-73.994128,0.0
2010-08-19 16:33:00.000000131,5.7,1.0,2099-01-01 00:00:00 UTC,51.5,40.771522,-0.1,-73.98942
2013-03-10 15:44:00.00000040,5.0,100.0,2013-03-10 15:44:00 UTC,40.702272,0.0,-74.01335999999999,0.0
2013-06-14 08:27:43.0000001,8.5,1.0,2013-06-14 08:27:43 UTC,40.790813,40.777676,-73.95371,-73.957015
2013-07-08 21:24:00.00000048,17.0,1.0,2013-07-08 21:24:00 UTC,40.705167,40.749307,-74.00972800000001,-73.970897
2014-03-21 11:00:29.0000003,8.0,1.0,2014-03-21 11:00:29 UTC,40.828531,0.0,-73.950688,0.0
2011-08-31 08:21:47.0000004,12.5,1.0,2011-08-31 08:21:47 UTC,40.746485,40.763836,-73.917399,-73.97375600000001
2014-05-19 06:26:00.00000034,7.5,1.0,2014-05-19 06:26:00 UTC,40.730495,40.751085,-73.990815,-73.978337
2012-04-05 05:50:00.00000019,6.9,5.0,2012-04-05 05:50:00 UTC,40.732547,40.742312,-74.00744300000001,-73.991112
2015-03-04 14:55:40.0000006,5.0,2.0,2015-03-04 14:55:40 UTC,40.74495315551758,40.74422073364258,-73.9887466430664,-73.99568176269531
2010-04-27 21:40:07.0000004,10.5,1.0,2010-04-27 21:40:07 UTC,40.730979,40.76463,-74.00113499999999,-73.984424
2011-02-22 11:09:16.0000004,7.7,1.0,2011-02-22 11:09:16 UTC,40.764533,40.748956,-73.96888100000001,-73.985311
2009-01-09 15:01:20.0000002,5.7,1.0,2009-01-09 15:01:20 UTC,40.751271,40.742432,-73.99282600000001,-73.982786
2013-01-09 14:42:00.000000194,9.0,1.0,2013-01-09 14:42:00 UTC,40.775802,40.760703,-73.946852,-73.96434
2013-07-06 17:18:00.000000119,13.5,1.0,2013-07-06 17:18:00 UTC,40.783282,40.769802,-73.950655,-73.984365
2013-10-08 17:29:00.00000025,7.5,1.0,2013-10-08 17:29:00 UTC,40.765277000000005,40.778052,-73.976512,-73.977672
2014-12-07 12:26:00.0000009,9.0,1.0,2014-12-07 12:26:00 UTC,40.752122,40.757982,-73.984977,-74.000925
2015-05-17 08:02:59.0000002,14.0,1.0,2015-05-17 08:02:59 UTC,40.72368240356445,40.71139526367188,-73.97920989990234,-74.01746368408203
2011-06-09 00:53:00.00000066,5.7,3.0,2011-06-09 00:53:00 UTC,40.722588,40.733738,-73.983052,-73.988022
2014-11-12 12:40:29.0000005,10.0,1.0,2014-11-12 12:40:29 UTC,40.739572,40.760682,-74.002581,-73.99458
2010-06-04 14:49:00.000000100,5.7,5.0,2010-06-04 14:49:00 UTC,40.761447,40.759618,-73.993452,-73.979662
2011-08-04 10:38:00.000000142,7.7,2.0,2011-08-04 10:38:00 UTC,40.76318,40.76239,-73.991607,-73.982718
2009-03-25 00:08:52.0000001,52.0,1.0,2009-03-25 00:08:52 UTC,40.74732,40.74732,-74.035839,-74.035839
2010-03-22 10:01:00.00000076,11.3,1.0,2010-03-22 10:01:00 UTC,40.732177,40.758932,-74.00766999999999,-73.974663
2012-03-25 09:22:45.0000001,8.5,1.0,2012-03-25 09:22:45 UTC,40.725659,40.754504,-73.986681,-73.977068
2012-06-05 09:16:00.000000217,12.9,6.0,2012-06-05 09:16:00 UTC,40.790852,40.766375,-73.965315,-73.978195
2012-11-06 11:33:14.0000004,9.5,1.0,2012-11-06 11:33:14 UTC,40.765883,40.761951,-73.972195,-73.96794200000001
2014-05-22 18:30:00.000000217,9.0,100.0,2099-01-01 00:00:00 UTC,40.748357,40.763877,-73.982272,-73.969325
