key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2010-09-30 21:16:00.000000228,7.3,2010-09-30 21:16:00 UTC,-73.990237,40.732423,-73.972593,40.751582,5
2013-11-19 16:58:08.0000002,19.0,2013-11-19 16:58:08 UTC,-73.979838,40.746531,-73.98794000000001,40.775126,1
2015-01-13 19:28:18.0000004,11.0,2015-01-13 19:28:18 UTC,-74.00322723388672,40.73879623413085,-73.9768295288086,40.7273826599121,1
2010-10-16 13:21:30.0000002,2.5,2010-10-16 13:21:30 UTC,-73.983347,40.771135,-73.98419399999999,40.771359,1
2012-07-04 18:32:00.000000159,4.9,2012-07-04 18:32:00 UTC,-73.964377,40.80215,-73.97936,40.786992,1
2013-05-22 15:33:00.000000175,13.0,2013-05-22 15:33:00 UTC,40.766125,-73.983285,40.757417,-73.977962,2
2013-08-21 08:38:06.0000006,10.0,2013-08-21 08:38:06 UTC,-73.964837,40.769933,-73.983462,40.761655,1
2013-11-23 16:12:23.0000001,9.5,2013-11-23 16:12:23 UTC,-73.98178399999999,40.747001,-73.997845,40.741183,1
2014-02-16 11:13:29.0000001,7.0,2014-02-16 11:13:29 UTC,-73.991087,40.749643,-73.978962,40.762451,2
2014-02-18 22:01:00.000000179,3.5,2014-02-18 22:01:00 UTC,-73.968918,40.75422,-73.973265,40.755522,6
2015-06-26 12:42:44.0000005,8.5,2015-06-26 12:42:44 UTC,-73.98037719726562,40.75095748901367,-73.96562957763672,40.77153778076172,2
2009-05-03 13:25:00.00000012,6.5,2009-05-03 13:25:00 UTC,-73.9783,40.762878,-73.991247,40.750162,3
2010-11-22 00:08:00.000000107,23.7,2010-11-22 00:08:00 UTC,-74.006383,40.733012,-73.896328,40.705252,5
2012-03-06 15:35:37.0000001,10.5,2012-03-06 15:35:37 UTC,-73.965115,40.766463,-73.997523,40.744878,0
2012-05-20 02:57:00.00000019,6.1,2012-05-20 02:57:00 UTC,-73.98236800000001,40.769027,-73.9905,40.750852,2
2012-07-16 18:29:05.0000002,7.3,2012-07-16 18:29:05 UTC,-73.982534,40.730954,-73.972673,40.755783,1
2012-09-08 09:15:49.0000001,12.5,2012-09-08 09:15:49 UTC,-74.01071,40.717527,-73.986698,40.761382,1
2013-03-01 20:53:52.0000004,10.5,2013-03-01 20:53:52 UTC,-73.952261,40.778026,-73.965014,40.803343,1
2009-11-13 14:56:00.000000140,4.9,2009-11-13 14:56:00 UTC,-73.975537,40.760482,-73.97805799999999,40.751612,5
2009-09-06 00:01:04.0000001,13.3,2009-09-06 00:01:04 UTC,-73.988703,40.748854,-73.97280699999999,40.793146,1
2010-04-10 10:44:37.0000004,14.5,2010-04-10 10:44:37 UTC,-73.956787,40.77068,-74.005021,40.736076,1
2012-04-28 22:36:00.000000184,7.3,2012-04-28 22:36:00 UTC,-73.989862,40.751797,-73.987197,40.736615,1
2010-08-15 00:42:00.00000054,7.3,2010-08-15 00:42:00 UTC,-73.97986800000001,40.783777,-73.952315,40.772205,1
2011-12-07 18:52:00.000000105,10.9,2011-12-07 18:52:00 UTC,-73.955837,40.779643,-73.9757,40.782372,1
2012-07-26 14:03:28.0000003,6.9,2012-07-26 14:03:28 UTC,-73.984935,40.75892,-73.994483,40.754168,1
2010-06-01 13:29:00.00000039,4.1,2010-06-01 13:29:00 UTC,-74.005042,40.741608,-74.00941999999999,40.734248,3
2011-11-19 21:04:00.00000089,9.7,2011-11-19 21:04:00 UTC,-73.99906999999999,40.719835,-74.00588499999999,40.737255,1
2012-04-19 11:45:00.000000140,13.3,2012-04-19 11:45:00 UTC,-73.987262,40.758385,-73.955387,40.765587,5
2013-04-21 03:34:19.0000001,5.0,2013-04-21 03:34:19 UTC,-73.982962,40.735131,-73.99173499999999,40.735418,2
2014-06-03 00:53:00.00000056,19.0,2014-06-03 00:53:00 UTC,-73.972677,40.749395,-73.98248199999999,40.673752,1
2009-05-08 11:44:00.00000016,11.3,2009-05-08 11:44:00 UTC,-73.989048,40.736855,-74.005082,40.72291,1
2012-07-24 09:18:24.0000003,8.9,2012-07-24 09:18:24 UTC,-74.016037,40.71119,-74.001729,40.716976,1
2009-02-26 12:54:00.00000071,10.9,2009-02-26 12:54:00 UTC,-73.98814,40.723825,-73.992363,40.746075,2
2010-03-01 12:53:17.0000001,8.1,2010-03-01 12:53:17 UTC,-73.974159,40.763371,-73.987737,40.77516,1
2010-07-07 19:26:00.000000149,4.1,2010-07-07 19:26:00 UTC,-73.997167,40.722442,-73.98995,40.733918,1
2013-11-14 18:46:26.0000003,9.0,2013-11-14 18:46:26 UTC,-73.97661,40.75906,-73.963262,40.774347,2
2009-10-02 07:40:00.000000111,5.7,2009-10-02 07:40:00 UTC,-73.99368299999999,40.741285,-73.977345,40.755782,1
2011-11-29 19:00:02.0000003,5.3,2011-11-29 19:00:02 UTC,-73.97014,40.764802,-73.96077199999999,40.776447,1
2013-01-20 13:52:00.000000175,5.5,2013-01-20 13:52:00 UTC,-73.986903,40.738657,-73.995965,40.74255,2
2013-04-08 17:46:26.0000003,5.5,2013-04-08 17:46:26 UTC,-73.989088,40.736723,-73.983997,40.746673,1
2013-09-26 05:11:00.00000010,9.0,2013-09-26 05:11:00 UTC,-73.955777,40.779582,-73.972217,40.799565,3
2011-02-25 07:19:36.0000003,7.3,2011-02-25 07:19:36 UTC,-73.961119,40.768842,-73.979874,40.765502000000005,1
2011-06-02 10:57:01.0000002,6.1,2011-06-02 10:57:01 UTC,-73.972233,40.760361,-73.978441,40.753108000000005,1
2011-06-13 09:24:00.00000075,5.7,2011-06-13 09:24:00 UTC,-74.007548,40.73312,-73.994962,40.740840000000006,6
2009-07-21 18:06:21.0000004,14.9,2009-07-21 18:06:21 UTC,0.0,0.0,0.0,0.0,1
2013-12-12 09:54:00.000000112,8.0,2013-12-12 09:54:00 UTC,-73.997552,40.7367,-74.008082,40.722687,1
2012-02-28 08:38:00.00000082,8.1,2012-02-28 08:38:00 UTC,-73.957492,40.782895,-73.952652,40.808062,5
2014-02-21 01:55:00.0000003,8.0,2014-02-21 01:55:00 UTC,-73.99709,40.743905,-73.985962,40.726632,1
2015-02-03 15:44:42.0000002,7.5,2015-02-03 15:44:42 UTC,-74.006103515625,40.73495864868164,-74.00343322753906,40.747520446777344,2
2009-02-27 17:37:34.0000009,11.9,2009-02-27 17:37:34 UTC,-73.946714,40.780728,-73.957548,40.8116,1
2010-09-04 23:21:00.00000051,6.5,2010-09-04 23:21:00 UTC,-73.971815,40.757395,-73.989667,40.739922,1
2013-02-14 07:40:00.00000067,30.5,2013-02-14 07:40:00 UTC,-73.78191,40.644682,-73.801327,40.731537,5
2014-07-19 20:14:00.00000072,8.5,2014-07-19 20:14:00 UTC,-73.99093,40.75561,-73.97108,40.75556,1
2014-12-15 12:23:37.0000005,7.5,2014-12-15 12:23:37 UTC,-74.012326,40.718803,-74.009885,40.738737,2
2015-06-13 02:39:09.0000006,22.5,2015-06-13 02:39:09 UTC,-73.97550201416014,40.73303604125977,-73.91514587402342,40.77595901489258,1
2010-12-16 16:13:04.0000003,5.3,2010-12-16 16:13:04 UTC,-73.96130500000001,40.77739,-73.971047,40.788086,1
2014-06-27 15:12:30.0000002,8.0,2014-06-27 15:12:30 UTC,-73.990689,40.775115,-73.96953,40.790091,1
2014-08-31 16:54:00.000000104,10.0,2014-08-31 16:54:00 UTC,-73.984625,40.728137,-74.00573299999999,40.725652,1
2014-09-07 02:22:00.00000094,9.5,2014-09-07 02:22:00 UTC,-73.98895,40.72912,-73.96885,40.75423,1
2011-01-21 14:03:56.0000001,5.3,2011-01-21 14:03:56 UTC,0.0,0.0,0.0,0.0,1
2012-12-09 06:06:45.0000001,24.5,2012-12-09 06:06:45 UTC,-74.007858,40.704962,-73.97336999999999,40.784877,1
2013-05-12 04:23:00.00000035,5.0,2013-05-12 04:23:00 UTC,0.0,0.0,0.0,0.0,1
2013-05-14 12:11:50.0000003,19.5,2013-05-14 12:11:50 UTC,-73.95966,40.773896,-73.98200899999999,40.759665000000005,1
2013-05-25 11:19:00.00000091,5.0,2013-05-25 11:19:00 UTC,-73.99332199999999,40.762787,-73.984073,40.775158000000005,1
2013-06-14 00:53:00.000000123,7.5,2013-06-14 00:53:00 UTC,-73.985455,40.738435,-74.00527199999999,40.728092,4
2009-11-02 12:07:24.0000001,2.5,2009-11-02 12:07:24 UTC,-74.014445,40.708299,-74.014387,40.708266,1
2010-09-03 12:26:00.000000141,7.7,2010-09-03 12:26:00 UTC,-73.982475,40.773318,-73.954803,40.765288,2
2012-08-22 12:08:00.00000039,10.5,2012-08-22 12:08:00 UTC,-73.994023,40.75131,-73.97018800000001,40.767152,1
2012-08-27 15:55:00.000000126,8.5,2012-08-27 15:55:00 UTC,-74.004563,40.742105,-73.98621800000001,40.759312,1
2012-09-22 14:39:00.000000106,17.5,2012-09-22 14:39:00 UTC,-74.01558299999999,40.7105,-73.990945,40.745737,2
2010-08-01 19:03:41.0000002,10.5,2010-08-01 19:03:41 UTC,-73.982352,40.772819,-74.003066,40.734326,1
2011-01-25 06:30:29.0000001,5.3,2011-01-25 06:30:29 UTC,-73.97684699999999,40.764821000000005,-73.97663399999999,40.777423,1
2013-08-08 23:23:00.000000163,5.5,2013-08-08 23:23:00 UTC,-73.97529300000001,40.75061,-73.988578,40.757962,1
2014-04-12 02:55:00.000000149,9.5,2014-04-12 02:55:00 UTC,-73.996985,40.762742,-73.971677,40.792267,1
2014-08-15 22:33:07.0000004,33.0,2014-08-15 22:33:07 UTC,-73.993521,40.754028000000005,-73.876663,40.771307,1
2009-02-17 08:30:00.000000184,2.9,2009-02-17 08:30:00 UTC,-74.003445,40.732437,-74.00513000000001,40.728967,1
2011-10-24 19:16:36.0000003,9.3,2011-10-24 19:16:36 UTC,-73.988054,40.749987,-73.993134,40.762749,1
2013-08-14 15:47:00.000000179,5.0,2013-08-14 15:47:00 UTC,-73.987105,40.72936,-73.988877,40.73679,1
2014-09-13 14:10:00.000000166,11.5,2014-09-13 14:10:00 UTC,-73.969137,40.790757,-73.982382,40.764247,3
2009-03-29 14:24:00.00000081,10.9,2009-03-29 14:24:00 UTC,-73.98221,40.770825,-73.978598,40.736687,1
2009-08-08 13:16:20.0000006,3.7,2009-08-08 13:16:20 UTC,-73.950947,40.777556,-73.957758,40.776663,1
2010-10-14 18:42:00.000000186,6.9,2010-10-14 18:42:00 UTC,-73.960537,40.772662,-73.955403,40.769355,1
2012-06-01 07:56:25.0000002,7.7,2012-06-01 07:56:25 UTC,-74.007069,40.728321,-73.99153299999999,40.755107,2
2014-12-19 08:38:27.0000002,11.0,2014-12-19 08:38:27 UTC,-73.944839,40.783173,-73.97151099999999,40.750812,2
2010-08-30 05:17:00.0000003,8.1,2010-08-30 05:17:00 UTC,-73.966287,40.753492,-73.991692,40.749765,1
2012-03-15 15:35:39.0000002,14.9,2012-03-15 15:35:39 UTC,-73.872547,40.774175,-73.946175,40.766027,1
2012-11-23 21:52:00.0000001,6.5,2012-11-23 21:52:00 UTC,-74.003502,40.732532,-73.99855,40.74526,1
2014-11-08 22:18:43.0000002,42.5,2014-11-08 22:18:43 UTC,-73.78743,40.647653000000005,-73.929838,40.705986,1
2015-02-23 01:05:52.0000001,6.5,2015-02-23 01:05:52 UTC,-73.98703002929686,40.755653381347656,-73.98738861083984,40.76867294311523,1
2009-10-17 13:13:44.0000001,6.9,2009-10-17 13:13:44 UTC,-73.94795699999999,40.776494,-73.966223,40.762076,1
2010-06-07 14:34:02.0000004,4.5,2010-06-07 14:34:02 UTC,-73.974591,40.755724,-73.979558,40.762519,1
2011-02-12 13:13:57.0000001,5.3,2011-02-12 13:13:57 UTC,-74.010177,40.72008,-74.011465,40.70773,2
2012-11-21 16:26:09.0000001,10.0,2012-11-21 16:26:09 UTC,-73.978099,40.75365,-73.993762,40.753485,1
2013-10-17 10:02:00.00000033,14.5,2013-10-17 10:02:00 UTC,-73.986038,40.722485,-73.99235999999999,40.75366,1
2010-11-22 10:33:00.00000088,4.1,2010-11-22 10:33:00 UTC,-73.96217800000001,40.81028,-73.963482,40.803463,1
2011-06-04 01:57:45.0000001,16.1,2011-06-04 01:57:45 UTC,-73.994473,40.680807,-73.9495,40.69529,1
2013-07-02 21:38:00.00000087,7.5,2013-07-02 21:38:00 UTC,-74.00344,40.732032,-73.988147,40.740035,2
2014-11-15 17:17:00.000000184,10.5,2014-11-15 17:17:00 UTC,-73.982332,40.756565,-73.970672,40.759027,6
2010-09-04 03:29:23.0000001,3.7,2010-09-04 03:29:23 UTC,-74.000147,40.730452,-73.90843199999999,40.64581,1
2012-11-18 19:19:56.0000002,6.0,2012-11-18 19:19:56 UTC,-73.957911,40.765104,-73.955396,40.779476,1
